"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","868.65","848.00","879.30","848.00","39.86M","-1.22%"
"02-03-2026","879.40","876.20","887.75","871.55","38.38M","-0.94%"
"27-02-2026","887.75","898.60","898.95","885.00","34.62M","-1.21%"
"26-02-2026","898.60","912.00","912.00","895.00","41.17M","-0.99%"
"25-02-2026","907.60","910.55","916.00","903.10","27.88M","-0.32%"
"24-02-2026","910.50","927.95","927.95","909.15","31.31M","-1.42%"
"23-02-2026","923.60","916.50","925.65","915.25","23.27M","1.29%"
"20-02-2026","911.85","911.00","917.85","908.40","22.65M","-0.41%"
"19-02-2026","915.60","929.00","929.20","912.45","21.21M","-0.98%"
"18-02-2026","924.70","923.20","925.50","919.55","12.74M","-0.11%"
"17-02-2026","925.70","923.00","928.10","918.60","22.60M","-0.01%"
"16-02-2026","925.80","903.90","929.50","902.10","18.81M","2.42%"
"13-02-2026","903.90","913.00","928.20","901.00","50.19M","-1.81%"
"12-02-2026","920.60","927.00","928.60","918.50","33.87M","-0.70%"
"11-02-2026","927.10","931.25","936.00","925.30","24.87M","-0.57%"
"10-02-2026","932.40","930.00","940.90","929.95","31.53M","-0.52%"
"09-02-2026","937.25","945.00","950.00","935.35","23.95M","-0.41%"
"06-02-2026","941.10","945.00","948.10","937.60","18.12M","-0.91%"
"05-02-2026","949.70","956.00","956.05","946.70","28.10M","-0.36%"
"04-02-2026","953.10","952.50","957.20","947.95","24.37M","0.46%"
"03-02-2026","948.70","983.75","994.00","945.00","50.34M","2.22%"
"02-02-2026","928.10","915.00","929.80","909.30","28.03M","0.65%"
"01-02-2026","922.10","932.00","939.65","912.65","9.86M","-0.77%"
"30-01-2026","929.25","930.00","938.90","927.75","29.69M","-0.67%"
"29-01-2026","935.50","930.10","939.30","924.35","37.18M","0.30%"
"28-01-2026","932.70","932.50","941.45","928.40","35.35M","0.68%"
"27-01-2026","926.40","906.00","931.20","905.00","44.75M","1.12%"
"23-01-2026","916.10","920.00","926.10","909.25","30.99M","-0.28%"
"22-01-2026","918.70","928.00","928.30","913.20","44.44M","-0.18%"
"21-01-2026","920.35","925.00","932.15","915.50","32.77M","-1.17%"
"20-01-2026","931.20","929.30","934.50","919.60","36.02M","0.36%"
"19-01-2026","927.90","935.90","936.15","919.50","38.19M","-0.34%"
"16-01-2026","931.10","922.00","935.95","919.20","37.78M","0.61%"
"14-01-2026","925.45","930.00","940.05","920.20","36.69M","-1.27%"
"13-01-2026","937.35","947.70","947.70","932.60","32.04M","0.04%"
"12-01-2026","936.95","937.50","942.00","929.60","21.07M","-0.22%"
"09-01-2026","939.00","945.00","950.60","933.30","38.18M","-0.81%"
"08-01-2026","946.70","944.70","953.00","941.40","21.93M","-0.25%"
"07-01-2026","949.05","956.00","956.45","946.00","52.88M","-1.37%"
"06-01-2026","962.20","962.70","966.70","956.00","31.99M","-1.57%"
"05-01-2026","977.50","1,005.75","1,006.40","976.30","27.65M","-2.41%"
"02-01-2026","1,001.60","991.15","1,003.20","988.80","11.75M","1.05%"
"01-01-2026","991.15","993.50","997.55","989.50","7.13M","-0.01%"
"31-12-2025","991.20","991.00","997.60","987.60","10.96M","0.03%"
"30-12-2025","990.90","990.20","995.00","982.20","33.16M","-0.08%"
"29-12-2025","991.70","993.10","997.40","987.20","13.55M","-0.04%"
"26-12-2025","992.10","996.00","997.20","987.70","9.36M","-0.51%"
"24-12-2025","997.20","993.00","999.40","993.00","13.70M","0.06%"
"23-12-2025","996.60","990.50","998.90","987.70","17.93M","0.90%"
"22-12-2025","987.70","988.00","992.90","983.90","13.54M","0.22%"
"19-12-2025","985.50","987.00","988.00","978.70","25.95M","0.59%"
"18-12-2025","979.70","973.30","987.40","973.30","14.91M","-0.44%"
"17-12-2025","984.00","996.00","996.00","980.80","19.08M","-1.04%"
