"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","1,365.40","1,326.00","1,376.00","1,326.00","20.01M","-0.63%"
"02-03-2026","1,374.00","1,355.00","1,379.20","1,355.00","16.93M","-0.36%"
"27-02-2026","1,378.90","1,400.00","1,402.20","1,376.70","15.10M","-1.85%"
"26-02-2026","1,404.90","1,405.10","1,410.00","1,392.10","27.29M","0.31%"
"25-02-2026","1,400.50","1,391.80","1,407.40","1,388.20","16.30M","1.13%"
"24-02-2026","1,384.80","1,400.90","1,400.90","1,382.30","18.27M","-1.04%"
"23-02-2026","1,399.40","1,400.00","1,408.30","1,395.30","10.73M","0.35%"
"20-02-2026","1,394.50","1,388.50","1,403.70","1,384.00","10.34M","0.41%"
"19-02-2026","1,388.80","1,408.50","1,412.30","1,384.80","14.32M","-1.38%"
"18-02-2026","1,408.20","1,410.10","1,412.30","1,398.90","4.76M","0.05%"
"17-02-2026","1,407.50","1,406.20","1,413.60","1,393.60","11.76M","-0.29%"
"16-02-2026","1,411.60","1,404.00","1,414.00","1,400.50","5.00M","-0.21%"
"13-02-2026","1,414.60","1,425.30","1,434.40","1,410.70","12.23M","-1.08%"
"12-02-2026","1,430.00","1,406.10","1,433.00","1,405.30","19.65M","1.70%"
"11-02-2026","1,406.10","1,407.40","1,413.00","1,400.40","8.55M","-0.03%"
"10-02-2026","1,406.50","1,401.00","1,409.50","1,395.50","16.50M","0.73%"
"09-02-2026","1,396.30","1,413.50","1,414.00","1,388.80","7.89M","-0.70%"
"06-02-2026","1,406.10","1,396.70","1,410.50","1,394.70","10.85M","0.69%"
"05-02-2026","1,396.50","1,414.00","1,414.00","1,393.20","8.98M","-0.84%"
"04-02-2026","1,408.40","1,387.00","1,414.00","1,386.90","11.08M","1.35%"
"03-02-2026","1,389.70","1,412.00","1,417.00","1,373.40","24.90M","2.73%"
"02-02-2026","1,352.80","1,329.90","1,354.40","1,329.10","12.80M","1.39%"
"01-02-2026","1,334.20","1,352.00","1,365.90","1,328.80","4.97M","-1.54%"
"30-01-2026","1,355.00","1,368.20","1,381.90","1,353.20","24.01M","-2.07%"
"29-01-2026","1,383.60","1,359.00","1,387.70","1,354.40","23.12M","1.16%"
"28-01-2026","1,367.70","1,362.60","1,380.40","1,362.60","13.24M","0.46%"
"27-01-2026","1,361.40","1,340.00","1,369.10","1,328.60","25.26M","1.34%"
"23-01-2026","1,343.40","1,340.50","1,355.20","1,335.70","14.06M","-0.16%"
"22-01-2026","1,345.50","1,355.10","1,358.00","1,338.00","17.18M","-0.26%"
"21-01-2026","1,349.00","1,367.50","1,371.50","1,339.50","21.77M","-1.95%"
"20-01-2026","1,375.80","1,374.70","1,387.80","1,371.50","15.01M","-0.35%"
"19-01-2026","1,380.60","1,399.90","1,400.00","1,360.00","23.30M","-2.14%"
"16-01-2026","1,410.80","1,417.90","1,429.00","1,400.20","12.53M","-0.54%"
"14-01-2026","1,418.40","1,425.60","1,443.90","1,414.90","13.83M","-1.29%"
"13-01-2026","1,437.00","1,420.00","1,441.80","1,411.10","14.30M","1.69%"
"12-01-2026","1,413.10","1,399.90","1,424.30","1,391.70","10.92M","0.63%"
"09-01-2026","1,404.30","1,427.10","1,429.50","1,401.50","12.56M","-2.14%"
"08-01-2026","1,435.00","1,429.00","1,442.20","1,423.30","14.86M","0.51%"
"07-01-2026","1,427.70","1,408.00","1,429.90","1,404.20","15.81M","1.17%"
"06-01-2026","1,411.20","1,372.00","1,413.60","1,366.00","17.26M","2.89%"
"05-01-2026","1,371.50","1,354.20","1,375.50","1,352.60","6.92M","1.19%"
"02-01-2026","1,355.40","1,338.00","1,356.90","1,336.30","8.23M","1.30%"
"01-01-2026","1,338.00","1,343.90","1,348.40","1,336.00","4.18M","-0.36%"
"31-12-2025","1,342.90","1,342.80","1,350.00","1,339.50","6.15M","0.03%"
"30-12-2025","1,342.50","1,343.30","1,347.10","1,338.10","18.62M","-0.06%"
"29-12-2025","1,343.30","1,352.10","1,355.70","1,341.50","6.06M","-0.53%"
"26-12-2025","1,350.40","1,356.50","1,362.00","1,348.50","2.81M","-0.69%"
"24-12-2025","1,359.80","1,363.80","1,368.20","1,357.60","8.96M","-0.23%"
"23-12-2025","1,363.00","1,361.10","1,365.00","1,357.00","9.11M","-0.40%"
"22-12-2025","1,368.50","1,358.00","1,371.30","1,354.80","9.38M","1.06%"
"19-12-2025","1,354.10","1,354.00","1,360.40","1,350.80","14.32M","-0.20%"
"18-12-2025","1,356.80","1,346.30","1,369.50","1,345.50","7.31M","0.33%"
"17-12-2025","1,352.40","1,365.00","1,365.00","1,343.10","9.44M","-1.00%"
"16-12-2025","1,366.00","1,364.00","1,368.70","1,355.50","12.36M","0.06%"
"15-12-2025","1,365.20","1,356.10","1,370.00","1,356.10","5.34M","-0.06%"
"12-12-2025","1,366.00","1,368.00","1,370.70","1,363.30","3.89M","0.44%"
"11-12-2025","1,360.00","1,363.70","1,366.60","1,352.80","6.73M","-0.26%"
"10-12-2025","1,363.60","1,377.90","1,379.40","1,357.90","8.73M","-0.84%"
"09-12-2025","1,375.20","1,379.90","1,384.30","1,373.40","10.49M","-1.04%"
"08-12-2025","1,389.60","1,387.00","1,394.90","1,383.30","7.83M","-0.21%"
"05-12-2025","1,392.50","1,381.00","1,395.30","1,381.00","4.94M","0.42%"
"04-12-2025","1,386.70","1,387.00","1,391.60","1,379.90","7.37M","-0.34%"
"03-12-2025","1,391.50","1,367.00","1,394.20","1,367.00","7.96M","1.35%"
"02-12-2025","1,373.00","1,381.80","1,381.80","1,370.60","12.13M","-1.23%"
"01-12-2025","1,390.10","1,394.00","1,400.00","1,385.40","8.87M","0.09%"
"28-11-2025","1,388.80","1,392.00","1,398.50","1,385.60","7.68M","-0.24%"
"27-11-2025","1,392.20","1,379.00","1,394.00","1,375.70","15.16M","1.25%"
"26-11-2025","1,375.00","1,360.00","1,377.00","1,359.90","9.66M","1.27%"
"25-11-2025","1,357.80","1,365.00","1,376.90","1,354.30","12.24M","-0.77%"
"24-11-2025","1,368.40","1,373.30","1,377.00","1,361.50","15.90M","-0.08%"
"21-11-2025","1,369.50","1,373.00","1,376.00","1,364.60","11.48M","-0.98%"
"20-11-2025","1,383.00","1,380.10","1,388.30","1,375.40","10.13M","-0.01%"
"19-11-2025","1,383.10","1,373.50","1,384.00","1,371.60","10.39M","0.71%"
"18-11-2025","1,373.40","1,380.20","1,382.80","1,369.10","9.53M","-0.41%"
"17-11-2025","1,379.00","1,375.10","1,382.50","1,373.60","7.66M","0.44%"
"14-11-2025","1,373.00","1,374.00","1,381.20","1,363.20","9.69M","-0.93%"
"13-11-2025","1,385.90","1,358.90","1,390.40","1,358.50","18.30M","1.99%"
"12-11-2025","1,358.90","1,370.00","1,370.00","1,355.40","9.74M","0.04%"
"11-11-2025","1,358.30","1,349.00","1,360.40","1,346.20","8.31M","0.76%"
"10-11-2025","1,348.00","1,342.90","1,349.60","1,341.00","8.54M","0.37%"
"07-11-2025","1,343.00","1,320.40","1,344.30","1,318.60","7.72M","1.71%"
"06-11-2025","1,320.40","1,330.00","1,342.20","1,317.40","24.22M","-1.23%"
"04-11-2025","1,336.90","1,342.60","1,349.80","1,333.20","15.21M","-0.71%"
